 Year ; Cultura ; Crop ; Region ; Council ; Distrito ; Nut2 ; Nut3 ;TSI;Pre;StateSupport
 2’020 ; abacate ; avocado ; A ; Castro Marim ; Faro ; Algarve ; Algarve ;122202.00;5657.95;3225.03
 2’020 ; abacate ; avocado ; A ; Tavira ; Faro ; Algarve ; Algarve ;239068.00;11068.85;6309.25
 2’020 ; abacate ; avocado ; A ; Vila Real de Santo António ; Faro ; Algarve ; Algarve ;130920.00;6061.60;3455.11
 2’020 ; abóbora ; pumpkin ; B ; Soure ; Coimbra ; Região do Centro ; Região de Coimbra ;18225.00;231.46;138.88
 2’020 ; abóbora ; pumpkin ; C ; Arraiolos ; Évora ; Alentejo ; Alentejo Central ;31749.00;523.86;298.60
 2’020 ; abóbora ; pumpkin ; C ; Elvas ; Portalegre ; Alentejo ; Alto Alentejo ;36000.00;594.00;356.40
 2’020 ; abóbora ; pumpkin ; C ; Santarém ; Santarém ; Alentejo ; Lezíria do Tejo ;109229.47;1802.29;1081.37
 2’020 ; alfarroba ; carob ; A ; Tavira ; Faro ; Algarve ; Algarve ;684.00;6.90;3.93
 2’020 ; alperce ; apricot ; B ; Montijo ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;60300.00;3008.21;1805.38
 2’020 ; alperce ; apricot ; B ; Vila Franca de Xira ; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;57125.00;2849.81;1710.32
 2’020 ; alperce ; apricot ; E ; Guarda ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;1784.00;551.43;318.12
 2’020 ; ameixa ; plum ; A ; Lourinhã ; Lisboa ; Região do Centro ; Oeste ;124704.00;4426.99;2656.20
 2’020 ; ameixa ; plum ; A ; Setúbal ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;221670.00;7869.29;4721.57
 2’020 ; ameixa ; plum ; A ; Torres Vedras ; Lisboa ; Região do Centro ; Oeste ;67611.00;2819.32;1440.11
 2’020 ; ameixa ; plum ; B ; Alcobaça ; Leiria ; Região do Centro ; Oeste ;153841.26;7638.40;4583.03
 2’020 ; ameixa ; plum ; B ; Alenquer ; Lisboa ; Região do Centro ; Oeste ;127170.00;6676.44;4005.87
 2’020 ; ameixa ; plum ; B ; Bombarral ; Leiria ; Região do Centro ; Oeste ;121395.75;6094.22;3647.75
 2’020 ; ameixa ; plum ; B ; Cadaval ; Lisboa ; Região do Centro ; Oeste ;26418.00;1056.72;634.04
 2’020 ; ameixa ; plum ; B ; Caldas da Rainha ; Leiria ; Região do Centro ; Oeste ;48537.34;2548.21;1528.93
 2’020 ; ameixa ; plum ; B ; Montijo ; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;291248.63;14529.78;8719.99
 2’020 ; ameixa ; plum ; B ; Óbidos ; Leiria ; Região do Centro ; Oeste ;39084.00;2129.01;1231.17
