"netzbetreiber","netzbetreiberStrasse","netzbetreiberPlz","netzbetreiberOrt","gemeindeNummer","gemeindeName","postleitzahl","kanton"
"AEW Energie AG","Industriestrasse","5000","Aarau","2492","Kienberg","4468","SO"
"AEW Energie AG","Industriestrasse","5000","Aarau","4023","Bergdietikon","8962 - 8967","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4032","Mägenwil","5506","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4035","Niederrohrdorf","5443","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4037","Oberrohrdorf","5452","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4041","Stetten (AG)","5608","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4044","Untersiggenthal","5301 - 5417","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4063","Bremgarten (AG)","5620 - 5626","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4065","Dottikon","5604 - 5605","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4068","Hägglingen","5522 - 5607","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4076","Sarmenstorf","5614 - 5618","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4077","Tägerig","5522","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4078","Uezwil","5619","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4091","Auenstein","5105","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4093","Birrhard","5244","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4106","Mönthal","5078 - 5237","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4110","Remigen","5236","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4112","Rüfenach","5200 - 5235","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4120","Veltheim (AG)","5106","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4124","Bözberg","5225 - 5237","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4125","Schinznach","5107 - 5108","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4134","Dürrenäsch","5724 - 5726","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4137","Leimbach (AG)","5733","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4138","Leutwil","5706 - 5725","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4140","Oberkulm","5727","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4142","Schlossrued","5044","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4143","Schmiedrued","5046","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4146","Unterkulm","5722 - 5726","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4161","Eiken","5074","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4163","Frick","5070","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4164","Gansingen","5272","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4172","Münchwilen (AG)","4333","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4175","Oeschgen","5072","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4185","Böztal","5075 - 5078","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4186","Herznach-Ueken","5027 - 5028","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4191","Ammerswil","5600","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4192","Boniswil","5706 - 5708","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4193","Brunegg","5505","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4196","Fahrwangen","5615","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4197","Hallwil","5705 - 5706","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4198","Hendschiken","5604","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4199","Holderbank (AG)","5113","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4202","Meisterschwanden","5615 - 5617","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4205","Othmarsingen","5504 - 5604","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4208","Seengen","5707","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4233","Kallern","5625","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4240","Waltenschwil","5622","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4251","Hellikon","4316 - 4465","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4252","Kaiseraugst","4303","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4253","Magden","4305 - 4312","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4254","Möhlin","4313","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4255","Mumpf","4322","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4256","Obermumpf","4324","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4258","Rheinfelden","4303 - 4313","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4259","Schupfart","4325","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4260","Stein (AG)","4332","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4261","Wallbach","4323","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4262","Wegenstetten","4317","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4264","Zuzgen","4315","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4274","Brittnau","4803 - 6264","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4283","Safenwil","5745","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4286","Uerkheim","4812 - 4813","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4303","Böttstein","5314 - 5315","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4304","Döttingen","5312","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4305","Endingen","5304 - 5305","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4306","Fisibach","5467","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4307","Full-Reuenthal","5324","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4309","Klingnau","5313 - 5322","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4310","Koblenz","5322","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4312","Lengnau (AG)","5426","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4313","Leuggern","5316 - 5317","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4318","Schneisingen","5425","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4320","Tegerfelden","5306","AG"
"AEW Energie AG","Industriestrasse","5000","Aarau","4324","Zurzach","5323 - 5466","AG"
"AG Elektrizitätswerk Maienfeld","Balatrain","7304","Maienfeld","3953","Maienfeld","7302 - 7304","GR"
"AGE SA","Piazza Bernasconi","6830","Chiasso","5242","Balerna","6828 - 6830","TI"
"AGE SA","Piazza Bernasconi","6830","Chiasso","5250","Chiasso","6830 - 6832","TI"
"AGE SA","Piazza Bernasconi","6830","Chiasso","5257","Morbio Inferiore","6834","TI"
"AGE SA","Piazza Bernasconi","6830","Chiasso","5268","Vacallo","6833","TI"
"AZIENDA ELETTRICA DI MASSAGNO (AEM) SA","Via Lisano","6900","Massagno","5009","Isone","6810","TI"
"AZIENDA ELETTRICA DI MASSAGNO (AEM) SA","Via Lisano","6900","Massagno","5196","Massagno","6900","TI"
"AZIENDA ELETTRICA DI MASSAGNO (AEM) SA","Via Lisano","6900","Massagno","5226","Capriasca","6807 - 6960","TI"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2422","Balsthal","4710 - 4717","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2491","Hauenstein-Ifenthal","4633","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2493","Lostorf","4634 - 4654","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2495","Niedergösgen","4658 - 5013","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2497","Obergösgen","4652 - 4653","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2499","Stüsslingen","4655","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2500","Trimbach","4600 - 4634","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2501","Winznau","4652 - 4654","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2502","Wisen (SO)","4634","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2572","Däniken","4658","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2573","Dulliken","4657 - 5746","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2582","Rickenbach (SO)","4613","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2583","Schönenwerd","5012","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2584","Starrkirch-Wil","4600 - 4657","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2585","Walterswil (SO)","5746","SO"
"Aare Versorgungs AG (AVAG)","Aarburgerstrasse","4600","Olten","2586","Wangen bei Olten","4612 - 4632","SO"
"Albula Netz AG","Am Wasser","7477","Filisur","3514","Schmitten (GR)","7493","GR"
"Albula Netz AG","Am Wasser","7477","Filisur","3542","Albula/Alvra","7084 - 7492","GR"
"Albula Netz AG","Am Wasser","7477","Filisur","3544","Bergün Filisur","7477 - 7494","GR"
"Alpen Energie Dorfgemeinde Meiringen","Kreuzgasse","3860","Meiringen","785","Meiringen","3856 - 3860","BE"
"Alpen Energie Dorfgemeinde Meiringen","Kreuzgasse","3860","Meiringen","786","Schattenhalb","3860","BE"
"Arbon Energie AG","Salwiesenstrasse","9320","Arbon","4401","Arbon","9320","TG"
"Arni Energie AG","Dreierweg ","3508","Arni","602","Arni (BE)","3507 - 3508","BE"
"Arosa Energie","Schulhausstrasse","7050","Arosa","3921","Arosa","7027 - 7260","GR"
"Azienda Elettrica Comunale Bedretto, Commercio Energia Elettrica","Villa","6781","Bedretto","5063","Bedretto","6781","TI"
"Azienda Elettrica Grevasalvas","Via dal Malögia","7517","Plaun da Lej","3789","Sils im Engadin/Segl","7514 - 7517","GR"
"Azienda Multiservizi Bellinzona (AMB)","Vicolo Muggiasca","6500","Bellinzona","5001","Arbedo-Castione","6517 - 6532","TI"
"Azienda Multiservizi Bellinzona (AMB)","Vicolo Muggiasca","6500","Bellinzona","5002","Bellinzona","6500 - 6702","TI"
"Azienda Multiservizi Bellinzona (AMB)","Vicolo Muggiasca","6500","Bellinzona","5003","Cadenazzo","6592 - 6599","TI"
"Azienda Multiservizi Bellinzona (AMB)","Vicolo Muggiasca","6500","Bellinzona","5010","Lumino","6532 - 6533","TI"
"Azienda Multiservizi Bellinzona (AMB)","Vicolo Muggiasca","6500","Bellinzona","5017","Sant'Antonino","6515 - 6593","TI"
"Azienda energia comunale","Via San Gottardo","6780","Airolo","5061","Airolo","6780","TI"
"Aziende Industriali Mendrisio, Sezione Elettricità","Via Municipio","6850","Mendrisio","5254","Mendrisio","6825 - 6874","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5141","Agno","6934 - 6992","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5143","Aranno","6994","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5144","Arogno","6822 - 6823","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5148","Bedano","6930","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5151","Bioggio","6934 - 6993","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5154","Bissone","6816","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5160","Brusino Arsizio","6827 - 6867","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5161","Cademario","6934 - 6992","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5162","Cadempino","6814","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5167","Canobbio","6952","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5171","Caslano","6987","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5176","Comano","6944 - 6949","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5180","Cureglia","6944","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5186","Grancia","6916","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5187","Gravesano","6929","TI"
"Aziende Industriali di Lugano (AIL) SA","Via della Posta","6900","Lugano","5189","Lamone","6807 - 6945","TI"
