Municípios	Nível I	Nível II	Nível III	Distrito	Municípios	Agro reg
Abrantes	Portugal Continental	Região do Centro	Médio Tejo	Santarém	Abrantes	d
Águeda	Portugal Continental	Região do Centro	Região de Aveiro	Aveiro	Águeda	d
Aguiar Da Beira	Portugal Continental	Região do Centro	Viseu Dão Lafões	Guarda	Aguiar da Beira	e
Alandroal	Portugal Continental	Alentejo	Alentejo Central	Évora	Alandroal	c
Albergaria-a-Velha	Portugal Continental	Região do Centro	Região de Aveiro	Aveiro	Albergaria-a-Velha	d
Albufeira	Portugal Continental	Algarve	Algarve	Faro	Albufeira	a
Alcácer Do Sal	Portugal Continental	Alentejo	Alentejo Litoral	Setúbal	Alcácer do Sal	b
Alcanena	Portugal Continental	Região do Centro	Médio Tejo	Santarém	Alcanena	c
Alcobaça	Portugal Continental	Região do Centro	Oeste	Leiria	Alcobaça	b
Alcochete	Portugal Continental	Região de Lisboa	Área Metropolitana de Lisboa	Setúbal	Alcochete	b
Alcoutim	Portugal Continental	Algarve	Algarve	Faro	Alcoutim	a
Alenquer	Portugal Continental	Região do Centro	Oeste	Lisboa	Alenquer	b
Alfândega Da Fé	Portugal Continental	Região do Norte	Terras de Trás-os-Montes	Bragança	Alfândega da Fé	d
Alijó	Portugal Continental	Região do Norte	Douro	Vila Real	Alijó	e
Aljezur	Portugal Continental	Algarve	Algarve	Faro	Aljezur	a
Aljustrel	Portugal Continental	Alentejo	Baixo Alentejo	Beja	Aljustrel	c
Almada	Portugal Continental	Região de Lisboa	Área Metropolitana de Lisboa	Setúbal	Almada	a
Almeida	Portugal Continental	Região do Centro	Beiras e Serra da Estrela	Guarda	Almeida	e
Almeirim	Portugal Continental	Alentejo	Lezíria do Tejo	Santarém	Almeirim	c
Almodóvar	Portugal Continental	Alentejo	Baixo Alentejo	Beja	Almodôvar	c
Alpiarça	Portugal Continental	Alentejo	Lezíria do Tejo	Santarém	Alpiarça	c
Alter Do Chão	Portugal Continental	Alentejo	Alto Alentejo	Portalegre	Alter do Chão	c
Alvaiázere	Portugal Continental	Região do Centro	Região de Leiria	Leiria	Alvaiázere	d
Alvito	Portugal Continental	Alentejo	Baixo Alentejo	Beja	Alvito	c
Amadora	Portugal Continental	Região de Lisboa	Área Metropolitana de Lisboa	Lisboa	Amadora	a
