Ano;Cultura;Região tarifação;Concelho;Capital seguro (eur);Prémio comercial (eur);Bonificação (eur)
2022;abacate;A;Albufeira;55817.31;2210.37;1326.22
2022;abacate;A;Castro Marim;751738.05;29918.07;17907.56
2022;abacate;A;Faro;182989.00;7078.38;4247.03
2022;abacate;A;Lagoa (Algarve);149816.01;5842.22;3372.25
2022;abacate;A;Lagos;1351328.02;45945.15;27567.09
2022;abacate;A;Olhão;35017.20;1276.37;765.82
2022;abacate;A;Silves;414675.75;19704.16;11036.97
2022;abacate;A;Tavira;542121.97;21837.77;13084.07
2022;abacate;A;Vila Real de Santo António;36400.00;1685.30;1011.18
2022;abacate;B;Alcácer do Sal;902792.83;50132.09;30063.00
2022;abóbora;A;Castro Marim;9365.00;94.58;53.91
2022;abóbora;A;Lourinhã;12969.30;130.98;74.66
2022;abóbora;A;Sintra;425.00;4.43;2.41
2022;abóbora;A;Tavira;1020.00;10.30;5.87
2022;abóbora;C;Sousel;228791.31;1193.03;713.84
2022;abóbora;E;Almeida;618.80;20.35;11.60
2022;abóbora;E;Miranda do Douro;1000.00;32.90;18.75
2022;alface;A;Sintra;364.80;3.81;2.07
2022;alface;B;Aveiro;15444.80;98.84;56.34
2022;alfarroba;A;Silves;450.43;4.54;2.58
2022;alho;B;Aveiro;2472.00;23.39;9.01
2022;alho francês;A;Sintra;584.10;6.09;3.31
2022;alperce;D;Idanha-a-Nova;9204.00;2430.86;1325.93
2022;ameixa;A;Lourinhã;189174.00;6989.47;4020.78
2022;ameixa;A;Torres Vedras;7299.00;263.02;155.47
2022;ameixa;B;Alcobaça;92162.48;4494.72;2693.91
2022;ameixa;B;Bombarral;10477.35;559.59;330.04
2022;ameixa;B;Cadaval;9903.50;369.63;221.78
2022;ameixa;B;Caldas da Rainha;33803.55;1789.44;1064.81
2022;ameixa;B;Montijo;218047.74;11447.51;6868.50
2022;ameixa;B;Óbidos;27579.30;1447.91;868.75
2022;ameixa;B;PORTO de MÓS;799.59;39.92;23.94
2022;ameixa;C;Aljustrel;109964.00;11745.16;6504.96
2022;ameixa;C;Borba;101314.50;10627.93;6376.72
2022;ameixa;C;Campo Maior;681435.00;74753.42;42889.52
2022;ameixa;C;Elvas;44477.00;4879.13;2799.38
2022;ameixa;C;Ferreira do Alentejo;234037.50;25673.91;14730.32
2022;ameixa;C;Mora;86220.75;9044.56;5426.73
2022;ameixa;C;Portalegre;61738.88;6772.75;3885.84
2022;ameixa;C;Portel;63117.00;6923.93;3972.58
2022;ameixa;C;Santarém;38442.00;4198.42;2419.54
2022;ameixa;C;Sousel;16540.00;1735.04;988.97
2022;ameixa;D;Armamar;39168.00;11107.25;5642.26
2022;ameixa;D;Baião;452.35;108.60;61.90
2022;ameixa;D;Belmonte;10950.00;2892.01;1577.46
2022;ameixa;D;Castelo Branco;10842.00;2863.48;1561.89
2022;ameixa;D;Covilhã;3804.00;1004.67;548.00
2022;ameixa;D;Fundão;145445.60;38924.79;20952.89
2022;ameixa;D;Idanha-a-Nova;10366.00;2737.76;1493.33
2022;ameixa;D;Lamego;4266.00;1209.95;614.55
2022;ameixa;D;Penamacor;5856.00;1546.63;843.62
2022;ameixa;D;Resende;10392.00;2946.95;1497.06
2022;ameixa;D;Tabuaço;16686.00;4731.80;2403.70
2022;ameixa;D;Valpaços;19252.80;5459.70;2773.46
2022;ameixa;E;Moimenta da Beira;9954.00;3487.37;1774.99
2022;ameixa;E;Tarouca;11292.00;4006.49;2013.59
2022;amêndoa;A;Castro Marim;30526.69;1819.38;1091.62
2022;amêndoa;C;Aljustrel;4406.93;775.59;442.09
2022;amêndoa;C;Beja;679807.57;75922.72;44593.22
2022;amêndoa;C;Campo Maior;93300.47;14778.82;8423.93
2022;amêndoa;C;Castro Verde;29356.69;3478.64;2087.26
2022;amêndoa;C;Elvas;42692.75;4264.70;2558.82
2022;amêndoa;C;Estremoz;155757.77;1541.93;878.94
2022;amêndoa;C;Évora;581873.83;56674.51;34004.71
2022;amêndoa;C;Ferreira do Alentejo;8739.29;1048.71;597.77
2022;amêndoa;C;Fronteira;1652.15;290.77;174.46
2022;amêndoa;C;Serpa;2530.10;445.28;263.02
2022;amêndoa;C;Vidigueira;757196.54;57244.06;34346.43
2022;amêndoa;C;Vila Viçosa;95861.38;15184.47;9110.68
2022;amêndoa;D;Alfândega da Fé;64328.82;16710.96;9000.66
