Ano;Cultura;Região tarifação;Concelho;Indemnizações (eur);Reembolsos de Indemnizações;Despesas;Reembolsos de Despesas
2020;alperce;E;Guarda;1052.56;0.00;339.24;0.00
2020;ameixa;A;Lourinhã;25994.92;0.00;805.68;0.00
2020;ameixa;A;Torres Vedras;1627.47;0.00;480.69;0.00
2020;ameixa;B;Alcobaça;428.01;0.00;524.16;0.00
2020;ameixa;B;Alenquer;2840.29;0.00;311.07;0.00
2020;ameixa;B;Bombarral;5920.23;0.00;502.73;0.00
2020;ameixa;B;Caldas da Rainha;9952.57;0.00;269.47;0.00
2020;ameixa;C;Borba;6496.29;0.00;323.18;0.00
2020;ameixa;C;Campo Maior;126803.38;0.00;5211.05;0.00
2020;ameixa;C;Coruche;5777.32;0.00;508.86;0.00
2020;ameixa;C;Elvas;19314.17;0.00;912.88;0.00
2020;ameixa;C;Ferreira do Alentejo;21233.31;0.00;1054.77;0.00
2020;ameixa;C;Mora;0.00;0.00;181.73;0.00
2020;ameixa;D;Armamar;14392.60;0.00;5257.82;0.00
2020;ameixa;D;Belmonte;9428.21;0.00;1159.17;0.00
2020;ameixa;D;Castelo Branco;30720.41;0.00;1753.14;0.00
2020;ameixa;D;Covilhã;2583.36;0.00;508.86;0.00
2020;ameixa;D;Fundão;61327.50;0.00;3364.83;0.00
2020;ameixa;D;Idanha-a-Nova;6554.87;0.00;1017.72;0.00
2020;ameixa;D;Lamego;1601.73;0.00;848.10;0.00
2020;ameixa;D;Penamacor;4185.09;0.00;508.86;0.00
2020;ameixa;D;Resende;2448.31;0.00;339.24;0.00
2020;ameixa;D;Tabuaço;2947.40;0.00;678.48;0.00
2020;ameixa;D;Valpaços;7103.60;0.00;678.48;0.00
2020;ameixa;E;Moimenta da Beira;792.46;0.00;339.24;0.00
2020;ameixa;E;Sernancelhe;159.94;0.00;339.24;0.00
2020;ameixa;E;Tarouca;0.00;0.00;508.86;0.00
2020;amêndoa;C;Elvas;0.00;0.00;181.73;0.00
2020;amêndoa;C;Vila Viçosa;0.00;0.00;272.60;0.00
2020;amêndoa;D;Mirandela;1129.69;0.00;508.86;0.00
2020;amêndoa;D;Sabugal;1345.40;0.00;339.24;0.00
2020;amêndoa;D;Valpaços;3971.56;0.00;508.86;0.00
2020;amêndoa;D;Vila Flôr;14563.69;0.00;1795.34;0.00
2020;amêndoa;E;Carrazeda de Ansiães;12095.01;0.00;2987.10;0.00
2020;amêndoa;E;Torre de Moncorvo;11196.34;0.00;791.76;0.00
2020;arroz;B;Soure;5016.35;0.00;169.62;0.00
2020;arroz;B;Vila Franca de Xira;1139369.21;0.00;23824.44;0.00
2020;arroz;C;Benavente;122120.90;0.00;6441.45;0.00
2020;arroz;C;Chamusca;0.00;0.00;339.24;0.00
2020;arroz;C;Elvas;0.00;0.00;545.19;0.00
2020;arroz;C;Salvaterra de Magos;24939.19;0.00;885.08;0.00
2020;aveia para grão;C;Alandroal;9635.52;0.00;417.99;0.00
2020;aveia para grão;C;Castro Verde;9504.32;0.00;272.60;0.00
2020;aveia para grão;C;Évora;38092.93;0.00;4343.40;0.00
2020;aveia para grão;C;Portel;7450.80;0.00;617.89;0.00
2020;aveia para grão;C;Vila Viçosa;2456.02;0.00;272.60;0.00
2020;batata;B;Montemor-o-Velho;0.00;0.00;339.24;0.00
2020;castanha;C;Portalegre;8170.02;0.00;504.91;0.00
2020;castanha;E;Bragança;0.00;0.00;339.24;0.00
2020;cebola;C;Évora;46902.10;0.00;614.06;0.00
2020;cebola;C;Redondo;20182.18;0.00;581.73;0.00
2020;cereja;C;Portalegre;9265.32;0.00;1050.10;0.00
2020;cereja;D;Armamar;245435.31;0.00;25514.43;0.00
2020;cereja;D;Belmonte;38854.97;0.00;1356.96;0.00
2020;cereja;D;Castelo Branco;216873.28;0.00;4087.83;0.00
2020;cereja;D;Covilhã;76348.95;0.00;3562.02;0.00
2020;cereja;D;Fundão;788968.07;0.00;17233.29;0.00
2020;cereja;D;Lamego;72381.75;0.00;5421.30;0.00
2020;cereja;D;Mêda;8398.50;0.00;339.24;0.00
2020;cereja;D;Resende;27238.44;0.00;2035.44;0.00
2020;cereja;D;São João da Pesqueira;4391.18;0.00;1017.72;0.00
2020;cereja;D;Tabuaço;22982.62;0.00;678.48;0.00
2020;cereja;D;Valpaços;49382.04;0.00;848.10;0.00
2020;cereja;E;Aguiar da Beira;5224.59;0.00;914.76;0.00
2020;cereja;E;Alijó;2809.48;0.00;339.24;0.00
